,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,600230.SH,20190226,19.74,6.5757,12.2328,2.12,6.3366,6.0358,2.2437,1.8406,1.6803,41186.3502,41186.3502,22139.6078,813018.5529,813018.5529
1,600237.SH,20190226,4.11,4.8725,5.8532,1.05,165.1943,240.163,1.871,2.8518,2.6749,56436.9565,56436.9565,46980.8285,231955.8912,231955.8912
2,002465.SZ,20190226,9.5,2.7416,3.8427,1.08,74.726,58.9849,2.6564,6.538,5.9845,230694.3384,207050.8115,147721.8555,2191596.2148,1966982.7093
3,300732.SZ,20190226,36.15,5.9468,7.7285,2.03,21.517,17.4126,2.5303,5.2978,4.7711,13705.4173,8432.6346,6488.6346,495450.8354,304839.7408
4,600007.SH,20190226,14.39,0.2532,1.3082,1.41,22.8334,19.3901,2.1522,5.2395,4.6595,100728.2534,100728.2534,19492.2293,1449479.5664,1449479.5664
5,300068.SZ,20190226,15.44,3.0545,4.3106,1.23,35.5714,30.2323,2.1273,1.5687,1.5272,87750.5321,62107.7581,44010.5522,1354868.2156,958943.7851
6,300552.SZ,20190226,16.8,3.6381,4.4587,1.06,47.7073,185.2202,2.4465,2.8768,2.7259,10763.48,4125.352,3366.096,180826.464,69305.9136
7,601369.SH,20190226,6.6,0.5754,1.5953,2.03,44.864,29.8709,1.7435,2.7327,2.2918,163877.0233,163877.0233,59106.631,1081588.3538,1081588.3538
8,002518.SZ,20190226,10.52,4.6789,12.7493,1.28,16.4962,26.4516,2.5314,2.2448,2.2572,58244.5394,55795.1026,20476.6148,612732.5545,586964.4794
9,002913.SZ,20190226,47.15,16.8353,16.8353,1.3,40.079,28.5339,3.1882,3.9967,3.1022,14718.4414,3601.3,3601.3,693974.512,169801.295
10,601818.SH,20190226,4.17,0.5228,1.3181,1.66,6.9387,6.5029,0.7842,2.383,1.9854,5248927.1407,3981053.5907,1579124.4316,21888026.1767,16600993.4732
11,600926.SH,20190226,8.62,3.9791,4.2846,1.89,9.7184,8.1697,0.9372,3.1316,2.589,513020.0432,208169.0637,193327.5076,4422232.7724,1794417.3291
12,002166.SZ,20190226,7.43,3.1893,4.0824,1.42,15.7765,16.7977,2.9301,4.0549,4.5637,43728.1362,35396.8746,27653.2175,324900.052,262998.7783
13,600841.SH,20190226,8.39,1.7169,8.4982,1.34,59.4611,51.525,1.9629,1.9828,1.7134,86668.983,52189.253,10544.0,727152.7674,437867.8327
14,300634.SZ,20190226,26.75,21.2078,21.2078,1.48,81.2668,70.9007,9.1782,17.3615,14.3787,40001.0,4001.0,4001.0,1070026.75,107026.75
15,300126.SZ,20190226,5.59,6.8507,10.0606,0.93,382.6576,,1.7576,3.0941,2.9135,30395.76,21067.8529,14346.0497,169912.2984,117769.2977
16,300718.SZ,20190226,16.59,11.322,11.322,1.41,27.037,22.3226,2.9179,5.7984,4.9713,19800.0,4950.0,4950.0,328482.0,82120.5
17,000708.SZ,20190226,11.05,3.0218,7.2171,2.63,12.5752,9.9943,1.1619,0.4856,0.4054,44940.848,44940.848,18817.0,496596.3704,496596.3704
18,002626.SZ,20190226,13.92,1.6371,4.3912,1.67,18.1023,9.6997,2.8679,4.1165,3.0732,61648.1927,60012.6867,22373.2932,858142.8424,835376.5989
19,600816.SH,20190226,8.13,4.6612,5.9107,1.82,12.1215,51.2843,3.2063,7.9508,16.6162,546913.7919,467250.9147,368481.1816,4446409.1281,3798749.9365
